a11,a12,a21,a22,b11,b12,b21,b22,c11,c12,c21,c22
17,-18,3,-16,2,-10,-15,7,304,-296,246,-142
-9,6,2,5,3,-7,0,12,-27,135,6,46
17,10,-3,12,-6,-8,18,-8,78,-216,234,-72
-15,-13,-10,-3,-15,13,13,-7,56,-104,111,-109
20,-11,9,2,18,-3,12,0,228,-60,186,-27
20,-4,9,1,20,0,-10,20,440,-80,170,20
-8,19,-18,10,-6,-5,-2,-9,10,-131,88,0
7,0,-6,14,-8,-15,8,16,-56,-105,160,314
4,18,8,3,-14,-4,15,11,214,182,-67,1
-3,11,10,7,-3,7,18,-2,207,-43,96,56
-19,3,-13,15,-11,19,-15,15,164,-316,-82,-22
-10,9,-5,-12,12,-10,-16,-9,-264,19,132,158
8,-18,16,2,-3,15,4,9,-96,-42,-40,258
18,13,14,-6,-6,-15,13,-12,61,-426,-162,-138
-16,-20,-16,-7,-20,8,-1,13,340,-388,327,-219
-4,-19,3,-10,-6,20,20,10,-356,-270,-218,-40
17,-7,-15,-12,19,-15,-2,-3,337,-234,-261,261
9,-2,14,-18,-12,6,16,12,-140,30,-456,-132
19,16,-7,-12,11,-12,-20,5,-111,-148,163,24
5,-11,10,-10,-12,-13,-9,-1,39,-54,-30,-120
14,-17,11,8,-12,-16,-9,4,-15,-292,-204,-144
3,0,2,12,10,-2,13,-7,30,-6,176,-88
2,5,0,-9,5,-7,7,20,45,86,-63,-180
17,18,6,7,16,3,9,-2,434,15,159,4
-4,-7,-10,15,16,-2,-12,-18,20,134,-340,-250
-3,-2,-13,1,1,-3,9,17,-21,-25,-4,56
-1,-7,20,-19,-17,3,4,14,-11,-101,-416,-206
-14,-7,-15,-1,15,15,12,-2,-294,-196,-237,-223
-4,-16,4,4,10,-8,15,-9,-280,176,100,-68
12,-6,-17,6,-12,-11,-17,-18,-42,-24,102,79
4,-13,-11,-6,-6,12,-8,-8,80,152,114,-84
-14,-1,1,-4,-19,-14,6,7,260,189,-43,-42
15,-10,-10,7,-13,11,5,2,-245,145,165,-96
-1,-11,7,-9,14,-3,10,6,-124,-63,8,-75
-1,4,-2,19,-5,-14,7,10,33,54,143,218
10,-9,7,0,-9,15,16,6,-234,96,-63,105
12,20,9,15,1,3,4,-9,92,-144,69,-108
-2,5,5,20,13,-11,-4,-20,-46,-78,-15,-455
-6,-18,-19,9,4,-7,19,-9,-366,204,95,52
11,-12,20,-11,4,4,13,12,-112,-100,-63,-52
-18,5,-10,-13,1,7,9,11,27,-71,-127,-213
-16,-18,3,-14,7,-13,7,18,-238,-116,-77,-291
-18,-4,-19,-5,11,9,-12,-16,-150,-98,-149,-91
1,-11,-6,-17,18,9,-3,-13,51,152,-57,167
8,-8,-19,3,14,-16,4,-9,80,-56,-254,277
9,-11,-19,0,4,1,-11,2,157,-13,-76,-19
17,-19,19,-15,17,-16,7,-4,156,-196,218,-244
-13,-17,12,3,-14,4,-10,9,352,-205,-198,75
-20,19,16,-8,1,-17,-17,4,-343,416,152,-304
13,-7,6,10,-6,17,-11,18,-1,95,-146,282
5,-14,6,-10,6,-7,1,2,16,-63,26,-62
15,-19,9,16,-3,15,-9,9,126,54,-171,279
-20,9,3,10,-12,-19,8,18,312,542,44,123
-1,-1,15,17,13,14,-12,5,-1,-19,-9,295
20,5,-14,-4,17,4,-12,5,280,105,-190,-76
-10,-16,-1,-5,-8,5,1,-14,64,174,3,65
19,-8,19,7,-17,-3,8,-13,-387,47,-267,-148
-1,-9,-11,-3,12,5,2,0,-30,-5,-138,-55
20,7,-4,7,-8,-17,14,-12,-62,-424,130,-16
-20,2,-17,-18,4,17,-3,-15,-86,-370,-14,-19
-7,12,19,2,17,8,7,1,-35,-44,337,154
-9,-20,-10,-11,-19,-7,-7,11,311,-157,267,-51
6,-16,9,-9,2,13,-13,14,220,-146,135,-9
18,17,5,11,0,11,-15,-13,-255,-23,-165,-88
